Customer_id,City_Id,Zones_id,Calorie Intake,Ration Opt
100000,2,2,2422,0
100001,2,1,9877,1
100002,2,14,3467,0
100003,3,20,11716,0
100004,1,11,11506,0
100005,1,7,14554,0
100006,3,12,7919,1
100007,3,1,13252,0
100008,1,12,10528,1
100009,3,8,12730,0
100010,3,8,13454,1
100011,1,12,9509,1
100012,2,10,7667,1
100013,2,2,12706,1
100014,1,2,13734,0
100015,2,12,13310,0
100016,1,4,2251,0
100017,1,13,11786,1
100018,1,13,9402,1
100019,1,20,10354,0
100020,3,2,7091,1
100021,1,4,5343,1
100022,1,8,13340,1
100023,1,14,3371,1
100024,1,19,9462,1
100025,1,19,6251,1
100026,2,14,4107,1
100027,3,11,6353,0
100028,2,3,12956,0
100029,1,18,9050,0
100030,1,6,9801,0
100031,3,5,9539,0
100032,2,14,11017,0
100033,3,10,10121,0
100034,2,7,10559,1
100035,2,15,7605,1
100036,2,10,8334,1
100037,1,13,12100,0
100038,3,17,12178,0
100039,3,9,10583,1
100040,1,5,2762,0
100041,1,16,6666,1
100042,3,19,2236,0
100043,1,2,12627,0
100044,1,1,3720,0
100045,2,19,7629,0
100046,1,13,2681,1
100047,2,20,14901,0
100048,2,10,13555,0
100049,2,20,12024,1
100050,2,12,3895,0
100051,1,9,6370,1
100052,2,15,11310,1
100053,1,12,14129,1
100054,2,6,13009,1
100055,2,4,10770,0
100056,3,4,14040,1
100057,1,6,12816,1
100058,2,7,2367,1
100059,1,19,4664,0
100060,1,4,3207,0
100061,2,15,7180,1
100062,1,7,9803,1
100063,3,17,7561,0
100064,3,8,10058,0
100065,3,11,10787,0
100066,1,2,3198,0
100067,2,8,3758,0
100068,2,2,9562,0
100069,3,14,2854,0
100070,3,10,10841,1
100071,3,6,2982,0
100072,3,9,7962,1
100073,3,13,5107,0
100074,2,2,3439,1
100075,2,9,4672,0
100076,1,7,12741,0
100077,1,13,13875,1
100078,1,2,11251,1
100079,2,16,2329,1
100080,1,5,7460,0
100081,2,13,5885,1
100082,1,12,14576,1
100083,3,10,4187,1
100084,3,9,13466,0
100085,2,5,11855,1
100086,2,7,2329,0
100087,1,20,12748,1
100088,2,14,11255,1
100089,2,20,13278,0
100090,1,11,6347,0
100091,1,16,3479,0
100092,2,19,3837,0
100093,3,18,6574,1
100094,3,18,14065,0
100095,2,20,13109,1
100096,3,2,5851,0
100097,3,8,5621,1
100098,3,13,12158,0
100099,2,18,13536,0
100100,1,9,14643,1
100101,1,14,8660,0
100102,3,16,4042,1
100103,1,7,8989,0
100104,2,10,10407,1
100105,2,19,11775,1
100106,2,4,11536,1
100107,1,3,10381,1
100108,2,4,6133,0
100109,3,4,8257,0
100110,2,10,3009,1
100111,1,8,5618,0
100112,1,18,14475,1
100113,1,9,3094,1
100114,3,14,4903,0
100115,2,14,4574,1
100116,2,2,4452,1
100117,1,18,5269,1
100118,2,14,3242,0
100119,3,14,2543,0
100120,1,14,5949,1
100121,2,2,11455,0
100122,3,3,8828,1
100123,2,9,8967,1
100124,2,6,7735,1
100125,3,2,5679,1
100126,2,8,12447,0
100127,1,19,13421,0
100128,2,20,11759,1
100129,2,11,13793,1
100130,1,10,13978,0
100131,1,3,2836,0
100132,3,14,5797,1
100133,2,3,12083,0
100134,2,9,6031,0
100135,2,10,10234,1
100136,1,19,10965,0
100137,1,2,6892,1
100138,1,18,14161,1
100139,1,16,7281,0
100140,1,7,8348,0
100141,1,17,10702,0
100142,3,12,4937,0
100143,2,13,7679,1
100144,2,11,12566,0
100145,3,17,8985,1
100146,2,20,2105,1
100147,3,2,6735,1
100148,1,17,3838,1
100149,2,16,4272,0
100150,2,7,4782,0
100151,1,15,7571,0
100152,2,10,11805,1
100153,3,11,8316,0
100154,3,16,6307,0
100155,3,3,14910,0
100156,1,16,12746,0
100157,1,18,3082,1
100158,2,18,6980,0
100159,3,20,12529,0
100160,1,14,8774,0
100161,3,19,4493,0
100162,3,12,8636,0
100163,1,14,14657,1
100164,3,5,13232,1
100165,1,3,13222,1
100166,1,1,13835,0
100167,1,5,5709,1
100168,1,16,14224,0
100169,3,8,5420,0
100170,3,2,5403,1
100171,1,3,8196,0
100172,1,10,14179,1
100173,1,13,7842,0
100174,1,16,6157,0
100175,2,3,9703,0
100176,3,4,9723,1
100177,2,14,8677,0
100178,1,17,10412,1
100179,2,11,13176,1
100180,3,14,9300,1
100181,3,6,9100,1
100182,2,12,11932,0
100183,1,9,9864,0
100184,2,5,14435,0
100185,2,18,6874,0
100186,3,18,3362,1
100187,1,5,9708,1
100188,2,15,2612,0
100189,1,18,14229,1
100190,1,2,6221,0
100191,3,11,9704,1
100192,1,11,8132,1
100193,1,9,2782,0
100194,3,10,12554,0
100195,3,14,2487,1
100196,2,10,5577,0
100197,1,13,13012,0
100198,1,15,4309,0
100199,3,9,4386,1
100200,1,20,10469,1
100201,3,4,11492,0
100202,3,3,2131,1
100203,2,5,11586,1
100204,3,6,9528,1
100205,1,3,7341,1
100206,1,19,13773,1
100207,2,14,2765,0
100208,3,7,3143,1
100209,1,17,3482,0
100210,2,7,4050,1
100211,2,17,5450,0
100212,2,18,4717,0
100213,1,4,6853,0
100214,1,12,12352,0
100215,3,8,11539,0
100216,3,12,11525,0
100217,3,6,11179,0
100218,2,7,3132,0
100219,2,16,9666,0
100220,3,10,11496,1
